player,role,type,0s,1s,2s,3s,4s,6s,out,wide,total
C Swift,Batsman,left,40,30,10,5,10,7,2,2,104
L Modi,Keeper,right,40,30,10,5,10,7,2,2,104
U Nazim,Batsman,right,40,35,10,2,10,5,3,2,105
Parth K,Batsman,right,40,35,10,2,8,5,3,2,103
Muller S,Bowler,medium,40,20,20,0,6,5,6,2,97
RUDI S,Bowler,medium,40,20,20,0,6,5,6,2,97
M Genius,Batsman,right,40,25,10,0,6,4,5,2,90
K Biswas,Bowler,spin,40,25,10,0,5,4,6,2,90
F Rukanah,Bowler,medium,40,25,10,0,5,3,10,2,93
F Jaacob,Bowler,fast,40,25,10,0,5,3,10,2,93
Naman,Bowler,medium,40,25,10,0,5,3,10,2,93
