player,role,type,0s,1s,2s,3s,4s,6s,out,wide,total
P Shaw,Batsman,left,15,20,10,10,15,15,7,5,88
S Dhawan,Batsman,right,20,20,10,2,10,7,7,5,72
R Pant,Keeper,right,15,20,10,2,10,7,5,5,67
M Stoinis,Bowler,medium,20,20,10,2,10,7,5,5,74
S Hetmyer,Batsman,right,15,20,20,2,10,7,5,5,79
A Rahane,Batsman,right,25,20,7,1,7,15,4,5,80
C Woakes,Bowler,medium,15,25,10,1,10,7,10,5,78
R Ashwin,Bowler,spin,15,25,10,1,10,7,10,5,78
T Curran,Bowler,fast,30,25,10,1,10,7,10,5,93
A Mishra,Bowler,spin,30,25,10,1,5,3,10,5,89
A Khan,Bowler,fast,30,25,10,1,5,3,10,5,89
