player,role,type,0s,1s,2s,3s,4s,6s,out,wide,total
R Sharma,Batsman,right,15,20,10,10,15,15,7,5,88
DE Kock,Keeper,left,20,20,10,2,10,7,7,5,72
S Yadav,Batsman,right,15,20,10,2,10,7,5,5,67
I Kishan,Batsman,right,20,20,10,2,10,7,5,5,74
H Pandya,Bowler,medium,15,20,20,2,10,7,5,5,79
Pollard,Bowler,medium,25,20,7,1,7,15,4,5,80
K Pandya,Bowler,spin,15,25,10,1,10,7,10,5,78
M Jansen,Bowler,fast,15,25,10,1,10,7,10,5,78
R Chahar,Bowler,spin,30,25,10,1,10,7,10,5,93
J Bumrah,Bowler,fast,30,25,10,1,5,3,10,5,89
T Boult,Bowler,fast,30,25,10,1,5,3,10,5,89
