player,role,type,0s,1s,2s,3s,4s,6s,out,wide,total
KL Rahul,Keeper,left,15,20,10,10,15,15,7,5,88
M Agarwal,Batsman,right,20,20,10,2,10,7,7,5,72
CH Gayle,Batsman,left,15,20,10,2,10,7,5,5,67
D Hooda,Bowler,spin,20,20,10,2,10,7,5,5,74
N Pooran,Batsman,left,15,20,20,2,10,7,5,5,79
S Khan,Bowler,spin,25,20,7,1,7,15,4,5,80
J Richardson,Bowler,fast,15,25,10,1,10,7,10,5,78
M Ashwin,Bowler,spin,15,25,10,1,10,7,10,5,78
R Meredit,Bowler,medium,30,25,10,1,10,7,10,5,93
MD Shami,Bowler,fast,30,25,10,1,5,3,10,5,89
A Singh,Bowler,medium,30,25,10,1,5,3,10,5,89
