player,role,type,0s,1s,2s,3s,4s,6s,out,wide,total
D Warner,Batsman,left,30,20,10,10,15,15,7,5,88
J Bairstow,Keeper,right,30,20,10,2,10,7,7,5,72
M Pandey,Batsman,right,40,20,10,2,10,7,5,5,67
K Williamson,Batsman,right,20,20,10,2,10,7,5,5,74
K Jadhav,Batsman,right,15,20,20,2,10,7,5,5,79
A Samad,Bowler,right,25,20,7,1,7,15,4,5,80
J Holder,Bowler,medium,15,25,10,1,10,7,10,5,78
R Khan,Bowler,spin,15,25,10,1,10,7,10,5,78
B Kumar,Bowler,medium,30,25,10,1,10,7,10,5,93
T Natarajan,Bowler,fast,30,25,10,1,5,3,10,5,89
S Sharma,Bowler,medium,30,25,10,1,5,3,10,5,89
