player,role,type,0s,1s,2s,3s,4s,6s,out,wide,total
I Gunda,Batsman,left,40,30,10,5,10,7,2,2,88
TSP,Keeper,right,40,30,10,5,10,7,2,2,72
Kushal C,Batsman,right,40,35,10,2,10,5,3,2,67
Markkkkk,Batsman,right,40,35,10,2,8,5,3,2,74
M Ali,Batsman,right,40,35,10,2,8,5,3,2,74
AK,Bowler,right,40,20,20,0,6,5,6,2,79
A Rafay,Bowler,medium,40,20,20,0,6,5,6,2,80
X Factor,Bowler,spin,40,25,10,0,5,4,6,2,78
M Ratched,Bowler,medium,40,25,10,0,5,3,10,2,93
Reddy,Bowler,fast,40,25,10,0,5,3,10,2,89
Dale,Bowler,medium,40,25,10,0,5,3,10,2,89
